date,actual,predicted,residual
2019-06-19,3.7,3.652024700220205,0.04797529977979531
2019-07-31,3.6,3.6406535769571815,-0.040653576957181414
2019-09-18,3.6,3.5888976524454375,0.01110234755456263
2019-10-30,3.6,3.5625191505547757,0.03748084944522434
2019-12-11,3.6,3.641473077631099,-0.041473077631098754
2020-01-29,3.5,3.6768064610254045,-0.17680646102540454
2020-03-15,14.8,4.28376178663543,10.51623821336457
2020-04-29,13.2,11.131002951318127,2.0689970486818723
2020-06-10,10.2,12.952753154445531,-2.752753154445532
2020-07-29,8.4,10.580529543486108,-2.1805295434861076
2020-09-16,6.9,8.77011957179375,-1.870119571793749
2020-11-05,6.7,7.137727511813265,-0.4377275118132644
2020-12-16,6.4,6.735407866713268,-0.3354078667132674
2021-01-27,6.2,6.199552791353127,0.00044720864687342043
2021-03-17,6.1,5.959540612094901,0.14045938790509904
2021-04-28,5.8,5.966921349959425,-0.1669213499594253
2021-06-16,5.4,5.882675090541242,-0.4826750905412416
2021-07-28,5.1,5.5231456834031185,-0.42314568340311887
2021-09-22,4.5,4.84919600323474,-0.34919600323473965
2021-11-03,3.9,4.290725710044556,-0.3907257100445558
2021-12-15,4.0,3.8444191383140405,0.15558086168595953
2022-01-26,3.9,3.9051304724606233,-0.00513047246062337
2022-03-16,3.7,3.806327836657147,-0.10632783665714696
2022-05-04,3.6,3.6168261167832614,-0.01682611678326129
2022-06-15,3.5,3.5669170334806686,-0.06691703348066858
2022-07-27,3.6,3.6056640210447193,-0.005664021044719192
2022-09-21,3.6,3.500871566588459,0.0991284334115412
2022-11-02,3.5,3.6379626001068703,-0.13796260010687034
2022-12-14,3.5,3.5603986802801426,-0.060398680280142614
2023-02-01,3.5,3.6353308611696544,-0.13533086116965443
2023-03-22,3.4,3.772995396943462,-0.37299539694346207
2023-05-03,3.6,3.773207375532687,-0.17320737553268684
2023-06-14,3.5,3.681009054790141,-0.18100905479014084
2023-07-26,3.7,3.6627687091085672,0.037231290891432955
2023-09-20,3.9,3.693023796690857,0.2069762033091429
2023-11-01,3.8,3.8675356143491046,-0.06753561434910482
2023-12-13,3.7,3.854924926982697,-0.15492492698269666
2024-01-31,3.9,3.8087899299764696,0.09121007002353032
2024-03-20,3.9,3.839524807860209,0.06047519213979102
2024-05-01,4.1,3.9312682188997212,0.16873178110027842
2024-06-12,4.2,4.035766577017336,0.1642334229826643
